名称,住所,営業日,電話番号
綴 ainomachi,〒604-8181 京都府京都市中京区間之町通御池下ル綿屋町528 烏丸エルビル1F,月～土 ディナー：17:30～23:00(L.O.22:30),050-3476-0921
フォーンヴィェット ～Tiem an HUONG VIET～,〒604-0842 京都府京都市中京区押小路東洞院西入ル118,"土・日 12:00～15:00
月・水～土・祝日 ディナー：18:00～23:00
日 ディナー：18:00～21:00",050-3463-7743
おばんざいの店 京都ことこと 烏丸御池店,〒604-8173 京都府京都市中京区両替町通姉小路下ル柿本町392, モーニング：6:30～10:00(L.O.9:30)(※東急ステイで朝食付プランをお申込のお客さまに限ります。)、ランチ：11:30～15:00(L.O.14:30)、ディナー：17:00～21:30(L.O.21:00),050-3460-6861
御池酔心 本店,〒604-8186 京都府京都市中京区車屋御池下ル梅屋町358 アーバンアネックス御池ビルB1," 17:00～23:30(L.O.23:00)
月～金 11:00～14:00(土・日・祝を除く平日に、店頭にて11：00よりお弁当の販売をしております！  なくなり次第終了させていただきます)",050-3466-3712
二条城 ふる田,〒604-0045 京都府京都市中京区古城町371,"月～日 ディナー：17:00～23:00(L.O.20:30)
月～日 ランチ：12:00～14:30(※完全予約制)",050-3313-8047
マドラグ,〒604-0035 京都府京都市中京区上松屋町706-5,"月～土 11:30～22:00(L.O.21:00)(※食材がなくなり次第、オーダーストップとなる場合があります。)
月～土 ランチ：11:30～15:00(※お席のご予約は11:30にご来店の場合のみ、店頭及びお電話で受け付けております。)",075-744-0067
Bistrot VAPEURS 烏丸御池,〒604-0836 京都府京都市中京区押小路東洞院東入ル船屋町399-1, ランチ：11:30～15:00(L.O.14:00)、ディナー：18:00～22:00(L.O.21:00),050-3469-3068
Trattoria SALTINBANCO,〒604-0846 京都府京都市中京区押小路通両替町西入ル金吹町460 ベルメゾン1F," ディナー：18:00～20:30(L.O.20:30)(※コース   )、ディナー：18:00～22:00(L.O.21:30)(※アラカルト)
火～金 ランチ：11:30～14:00(L.O.14:00)
土・日・祝日 ランチ：12:00～14:30(L.O.14:30)",050-3313-7613
Pizzeria Solono,〒604-8206 京都府京都市中京区町頭町90-3,"火～日・祝日 ランチ：11:30～14:00(L.O.14:00)
火～日・祝日 ディナー：18:00～22:00(L.O.22:00)",050-3460-8712
東洞院 SOU －ヒガシノトウインソウ－,〒604-8135 京都府京都市中京区東洞院通六角上ル三文字町225 朝陽ビル1F, ランチ：11:30～14:00(※現在ランチは奥にある「食童 箸ずめ」にて提供しております。)、ディナー：17:30～24:00(L.O.23:00),050-3469-2342
焼肉ダイニング 甲 押小路本店,〒604-0956 京都府京都市中京区押小路通柳馬場東入等持寺町34-1 ペペ御所南1F, 17:00～23:00(※テイクアウト注文・受け取り可能時間 11:00〜21:00  ※使用するテーブルを制限し、一定の距離をとって他のお客様と隣合わせにならないよう配慮いたします。),050-3466-1986
わがまま屋 烏丸御池 三条,〒604-8136 京都府京都市中京区烏丸通三条東入ル梅忠町22 中井ビルB1, 17:00～23:00(※電話受付は12:30より承っております),050-3476-8232
Brasserie VAPEURS 三条新町,〒604-8241 京都府京都市中京区三条新町西入ル釜座町30-19,月～土 15:00～24:00(L.O.23:00)(日曜日が連休の場合、連休最終日が定休日となります。),050-3464-0686
CINQUE IKARIYA,〒604-8202 京都府京都市中京区姉小路室町西入ル突抜町138-3,"火～日・祝前日・祝日 ディナー：17:00～22:00(L.O.21:00)
火～日・祝前日・祝日 ランチ：11:30～15:00(L.O.13:30)(＊ご予約はhttps://yoyaku.toreta.in/cinque-ikariyaより承っております。)",050-3466-5727
やまだるま,〒604-0000 京都府京都市中京区烏丸六角東入堂之前町230-2 大輝六角ビルB1,"月～金 ランチ：11:30～13:30(L.O.13:00)
月～日 ディナー：17:00～24:00(L.O.23:30)",050-3467-4071
熟成刺身と旨い酒 京都 ひとしお,〒604-8073 京都府京都市中京区大黒町88 シルブープレビル1F, ディナー：17:30～24:00(L.O.23:00、ドリンクL.O.23:30)(・感染症対策を徹底した上で時短営業を行っております。  ※早めに閉めさせていただく場合もございますので、ご予約なしでご来店いただく際にはお電話ください。),050-3313-7428
町家・京季節料理 凛月,〒604-0022 京都府京都市中京区室町御池上ル御池之町308,"月～土 ランチ：12:00～14:00(※完全予約制です。前営業日までに予約をお願い致します。)
月～土 ディナー：17:30～23:00(L.O.22:30)(完全予約制です。前営業日までに予約をお願い致します。  ※お問い合わせは営業日の13:00～24:00にお願いいたします。)",050-3468-3483
雅庵 京都六角,〒604-8073 京都府京都市中京区六角通柳馬場東入ル大黒町71 イーグルコート御所参道1F, ランチ：11:30～15:00、ディナー：17:00～22:00(L.O.21:30)(＜テイクアウト・宅配について＞  営業時間11：30～21：00（配達注文のお電話…11：00～16：30／配達可能なお時間…11：30～17：00）徒歩15分圏内の範囲で配達致します。（御池通り・四条通り・河原町通り・烏丸通りの内側）),050-3469-4239
ラ・パーチェ,〒604-8127 京都府京都市中京区堺町通錦小路上ル菊屋町531,"月～日 ランチ：11:30～14:00
月～日 ディナー：17:30～22:00(L.O.21:00、ドリンクL.O.21:00)(状況により変更する場合がございます。)",050-3468-3511
ベジョータ ムアムア 烏丸三条,〒604-8136 京都府京都市中京区三条通烏丸東入梅忠町20-1 烏丸アネックスB1, 17:00～翌1:00(L.O.24:30),050-3313-1975
Fuji屋 京色,〒604-0951 京都府京都市中京区二条通柳馬場東入ル晴明町656-1, ディナー：17:00～23:00(L.O.22:30)、ランチ：12:00～14:30(L.O.13:30)(※完全予約制(1日前までに要予約)最終入店13：30、退席14：30となります。  ※現在店舗では、安全対策の実施を行っております。お客様へのアルコールご依頼など安心頂ける空間づくりを努めて参ります。またお客様のご心配・ご不安を少しでも軽減できるよう、個室のご用意もございますので気兼ねなくお楽しみくださいませ。皆さまの当店でお過ごしいただける時間が、より良いものとなりますように精一杯おもてなしいたします。),050-3476-4702
旨唐揚げと居酒メシ ミライザカ 烏丸三条店,〒604-8161 京都府京都市中京区烏丸通三条下ル饅頭屋町595-3 大同生命京都ビルB1, ディナー：16:00～24:00(★政府や各自治体の方針に従い、営業時間を上記時間より随時変更しております。ご来店の際はご注意いただけますようお願い申し上げます。),050-3476-5130
京都炭火串焼 つじや本店,〒604-0857 京都府京都市中京区烏丸二条上ル蒔絵屋町256 関広ビルB1,"月～金 ランチ：11:30～14:00(ランチ営業&お弁当テイクアウト  ※土日祝は除く)
月～日 ディナー：17:00～24:00(L.O.23:30)",050-3490-5728
ITALIAN QUATRO 四条烏丸店,〒604-8152 京都府京都市中京区烏丸通錦小路上ル手洗水町662 メディアジョイITビル1F," ランチ：11:30～14:30(L.O.14:00)
月～木・祝日 ディナー：17:00～22:00(L.O.21:30)(コロナウイルス感染拡大防止の為、時短営業となります。)
金・土・祝前日 ディナー：17:00～22:30(L.O.22:00)",050-3466-6632
Go‐En＜ゴーエン＞ 京都三条新町,〒604-8241 京都府京都市中京区釜座町36,月～土・祝前日・祝日 ランチ・ディナー：11:30～22:30(L.O.22:00、ドリンクL.O.22:00)((ランチはL.O14:00）),050-3313-5556
ピエール プレシウーズ,〒604-8117 京都府京都市中京区六角通高倉東入堀之上町129 プラネシア六角高倉3F,"月～金 ランチ：11:30～15:00(L.O.14:00、ドリンクL.O.14:30)(定休日が祝日前、祝日の場合は営業。)
土・日・祝 ランチ：11:30～17:00(L.O.16:00、ドリンクL.O.16:30)
 ディナー：17:30～23:00(L.O.22:00、ドリンクL.O.22:30)",050-3461-1991
炭火串焼 とりと 四条烏丸店,〒604-8144 京都府京都市中京区元法然寺町683 烏丸錦ビル1F,月～日 ディナー：17:30～24:00(L.O.22:30),050-3463-2159
肉味噌おでん かづさ屋,〒604-8147 京都府京都市中京区御射山町260 ロイヤルプラザビル2F,火～日 居酒屋タイム：17:00～23:30,050-3461-8909
炙り串焼とおばんざい みまでり 間之町,〒604-8104 京都府京都市中京区木之下町274-2,"月～土・祝日 ランチ：11:30～14:30(L.O.14:30)
月～土・祝日 ディナー：17:30～22:30(L.O.22:30)",050-3314-1123
Ailes muromachi,〒604-8175 京都府京都市中京区室町通御池下ル円福寺町342-1 VOICE21 1F, ランチ：11:30～15:00(L.O.14:00)、ディナー：17:30～22:30(L.O.20:30、ドリンクL.O.22:00)(営業時間内、時間外、定休日でも貸切の予約はお受けしております。どうぞお問い合わせください。貸切りの場合は3時間、営業時間にかかわりなくお問い合わせくださいませ。  （貸切の場合貸切保証をしていただきます。お食事代とお飲み物代の合計額が貸切保証金額を超えるようにお願いいたします。ランチ、ディナー、曜日により保障金額は違いますのでお問合せ下さい。）),050-3476-2074
まんざら亭 三条高倉店,〒604-8131 京都府京都市中京区三条通東洞院東入ル菱屋町47-3,火～日 17:00～24:00(L.O.23:30),050-3476-0388
EL BOGAVANTE 346,〒604-8247 京都府京都市中京区塩屋町53 ORYZA三条西洞院1F,"月・火・木～日 ランチ：12:00～15:00(L.O.14:30、ドリンクL.O.14:30)(14:00最終入店となります。)
月・火・木～日 ディナー：17:30～22:00(L.O.21:30、ドリンクL.O.21:30)(21:00最終入店となります。)",050-3462-5363
京料理 藤本,〒604-8207 京都府京都市中京区新町通御池下ル神明町72 エリタージュ新町1F, 昼の部：12:00～15:00(L.O.13:30)、夜の部：18:00～22:00(L.O.20:00),075-211-9105
昇瑛,〒604-8211 京都府京都市中京区室町西入玉蔵町118,"月～土 17:00～23:00(L.O.22:30)
日・祝日 17:00～22:30(L.O.22:00)",050-3466-6453
レトロパブ お酒の美術館,〒604-8166 京都府京都市中京区御倉町79 文椿ビルヂング2F,月～金 11:30～24:00(平日11:30〜24:00/土日祝日12:00〜24:00),050-3462-9676
ごちそう 紫陽,〒604-0824 京都府京都市中京区扇屋町646 押小路マンション1F, ディナー：17:30～22:00(L.O.21:30),050-3476-5609
恒屋伝助,〒604-0821 京都府京都市中京区観音町84,月～土・祝日 17:30～24:00,075-255-3938
和しょく 志喜,〒604-0833 京都府京都市中京区押小路高倉西入ル左京町137 1F,火～日・祝前日・祝日 17:30～23:00(L.O.22:30),050-3312-8207
焼き鶏 山椒なべ とり粋,〒604-8241 京都府京都市中京区三条通新町西入ル釜座町36,"月～金 11:30～14:00(L.O.13:30)
月～日 18:00～23:00(L.O.22:30)",050-3462-7799
亀甲屋,〒604-8105 京都府京都市中京区高倉通御池下ル東側, ディナー：17:00～23:00(L.O.22:15),050-3462-8507
ルラション,〒604-0000 京都府京都市中京区堺町通姉小路下ル大阪材木町687 第二パールハイツ1F,"月・火・金～日 ランチ：11:30～15:00(L.O.14:00)
月・火・木～日 ディナー：17:30～22:00(L.O.21:00)",050-3464-6973
フィオリスカ,〒604-0827 京都府京都市中京区高倉二条下ル瓦町545 アビリティ高倉1F, ランチ：12:00～14:00、ディナー：18:00～21:30,050-3312-6116
両川（RYOSEN）,〒604-0021 京都府京都市中京区室町通押小路西入ル蛸薬師町293,"月～金 ランチ：11:30～14:00(L.O.13:30)、ディナー：18:00～23:00(L.O.22:15、ドリンクL.O.21:15)(社会情勢により営業時間が変更になることがございます。)
土・祝前日 ディナー：17:00～23:00(L.O.22:15、ドリンクL.O.22:15)(社会情勢により営業時間が変更になることがございます。)",075-222-1441
イタリアワイン食堂 hikari－yurari,〒604-0944 京都府京都市中京区押小路通麩屋町東入橘町611-1 バインオークトゥエルブB1, 18:00～23:00(L.O.22:00)(※最終入店22：00),075-251-1865
ANTONIO,〒604-0933 京都府京都市中京区寺町二条西入ル 中村ビル1F, ディナー：17:00～23:30(L.O.22:30),050-3463-8585
La Biographie・・・,〒604-8201 京都府京都市中京区長浜町152, 昼の部：12:00～13:00(L.O.13:00)、夜の部：18:00～20:00(L.O.20:00),075-231-1669
押小路 岡田,〒604-0823 京都府京都市中京区竹屋町145, 昼の部：12:00～15:00(L.O.13:30)、夜の部：17:30～23:00(L.O.21:00),050-3466-4427
然花抄院 京都室町本店,〒604-0021 京都府京都市中京区室町通二条下ル蛸薬師町271-1, 11:00～19:00(L.O.18:30),050-3312-9819
飯田,〒604-8084 京都府京都市中京区姉小路富小路西入ル南側福長町120-1, 18:00～23:00(L.O.20:00),075-231-6355
ヤキニク 甲 蛸薬師店,〒604-8063 京都府京都市中京区油屋町120-1," ランチ：12:00～14:00
月～金・祝前日 ディナー：18:00～23:00
土・日・祝日 ディナー：17:00～23:00",050-3313-7924
神戸牛＆国産和牛 焼肉 嘉,〒602-0872 京都府京都市上京区河原町丸太町東入ル駒之町535-3,"火～日・祝日 ディナー：17:00～23:00(L.O.22:00)
土・日・祝日 ランチ：11:30～14:30(L.O.14:00)",050-3468-9457
京都イタリアン×ワイン酒場 Apartment（アパートメント）,〒604-8213 京都府京都市中京区蛸薬師通室町西入姥柳町203 パラドール烏丸ビル1F,月～日 17:30～翌3:00(L.O.2:00),050-3462-7500
風見鶏 烏丸六角店,〒604-8134 京都府京都市中京区六角通烏丸東入ル堂之前町230-2,月～日 ディナー：17:00～翌1:00(L.O.24:30),050-3468-7109
旬菜 ここ彩,〒604-0856 京都府京都市中京区両替町通二条上ル北小路町98-14, ディナー：17:30～22:30(L.O.22:00)、ランチ：11:30～14:00,050-3461-8725
日本酒と藁焼きと炭火焼 がぶり,〒604-8162 京都府京都市中京区烏丸蛸薬師上ル七観音町637 第41インターワンプレイスB1," ランチ：12:00～15:00(L.O.14:00)(緊急事態宣言終息まで、こちらの時間で営業いたします、ご了承ください。)、ディナー：17:00～20:00(緊急事態宣言終息まで、こちらの時間で営業いたします、ご了承ください。  (アルコールの提供は19時までとさせていただきます))
月～木・日 17:00～翌1:00(L.O.24:00、ドリンクL.O.24:30)
金・土・祝日 17:00～翌1:00(L.O.24:00、ドリンクL.O.24:30)",050-3468-7877
海鮮処 わたなべや,〒604-0833 京都府京都市中京区押小路通東洞院東入ル左京町124,月～日 17:30～24:30(L.O.24:00),050-3462-6041
丸福 本店,〒604-0036 京都府京都市中京区二条通釜座西入正行寺町669,火～日 17:30～23:15(L.O.22:45),050-3469-5567
雪月花 ＳＡＬＯＮ,〒604-8083 京都府京都市中京区三条通富小路角 ＳＡＣＲＡ ＢＬＤ．1F,"火～日・祝前日 バー：19:00～翌2:00(L.O.1:30)(営業時間 カフェ 13:00-18:00【月・火 定休】  BAR 19:00-翌2:00 定休日 月曜日（祝日の場合翌日休）日曜営業 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください)
水～日 カフェ：13:00～18:00",075-231-0070
Bird Kitchen,〒604-0867 京都府京都市中京区常真横町190, 8:00～19:00(L.O.19:00、ドリンクL.O.19:30),050-3373-5686
京都・丹波牛 いづつ家,〒604-8182 京都府京都市中京区堺町通姉小路下ル大阪材木町690, 17:00～22:00(L.O.21:00)(5/20より営業時間を短縮し再開いたします。当面の営業時間は17:00～22:00となります。),050-3477-2908
山内農場 烏丸御池駅前店,〒604-8172 京都府京都市中京区烏丸通姉小路下ル場之町599 CUBE OIKE B1,"月～金 ランチ：11:00～14:00(※祝日は除く)
月～木・土・祝前日 17:00～翌1:00
日・祝日 17:00～24:00
金 17:00～翌3:00",075-212-9688
天ぷらと季節料理 二条たかくらやまもと,〒604-0831 京都府京都市中京区二条高倉西入ル松屋町55-1 西本ビル1F, 17:00～22:00(※ご来店の際はご予約をお願いします),075-285-1289
ダニエルズ アルバ 烏丸御池,〒604-8105 京都府京都市中京区御池通高倉角 ホテルギンモンド1F, モーニング：7:00～10:00(L.O.9:30)、ランチ：11:30～14:30(L.O.14:30)、ディナー：18:00～23:00(L.O.22:00)、カフェ：10:00～11:30、カフェ：14:00～18:00,050-3476-5143
京Apollo 新町,〒604-8205 京都府京都市中京区三条町327,"月～水・金～日・祝前日・祝日 ランチ：11:30～13:30(L.O.13:30)
月～水・金～日・祝前日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)",050-3466-4768
Bini,〒604-0871 京都府京都市中京区東洞院通丸太町下ル445-1,"水～日 ランチ：12:00～15:00(※火曜日のランチは営業しておりません。)
火～日 ディナー：18:00～23:00",075-203-6668
ラ・プレーヌ・リュヌ,〒604-0831 京都府京都市中京区二条通高倉西入松屋町55-1 西本ビル2F,"月・火・木～日 ランチ：12:00～13:30(L.O.13:30)
月・火・木～日 ディナー：18:00～22:00(L.O.21:00)",050-3313-6845
逸品さかい,〒604-8141 京都府京都市中京区蛸薬師通高倉西入泉正寺町323 松本ビル1F,"月・水～日・祝日 12:00～14:00(L.O.13:00)(13：00までにご入店下さい。  カード不可)
月・水～日・祝日 18:00～22:00(L.O.20:00)(20：00までにご入店下さい。)",050-3492-0583
刻シラズ,〒604-8113 京都府京都市中京区柳馬場六角下ル井筒屋町400-1 プラネシア六角柳馬場ビル3F,月・水～日・祝前日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)(※営業時間外でも、御予約、宴会などございましたらご相談くださいませ。),050-3467-9228
やきとり酒場 かづさ屋,〒604-8147 京都府京都市中京区御射山町260 ロイヤルプラザビル2F, 18:00～23:30,050-3477-8298
100種の梅酒と本格沖縄料理 あーぐうる,〒604-8164 京都府京都市中京区六角烏丸西入ル骨屋町154-6," ディナー：17:30～23:00(L.O.22:20、ドリンクL.O.22:20)
火～金 ランチ：11:30～14:00((平日のみ)【電話でのお問い合わせは、平日11：00～/土、日、祝日16：00～承ります】)",050-3467-3701
隈本総合飲食店 MAO,〒604-8145 京都府京都市中京区東洞院通錦小路上ル元竹田町644,"月～土・祝日 ランチ・カフェ：11:00～15:00(L.O.14:30)(ご予約の状況により営業時間が変更になる場合がございます。)
月～土・祝前日・祝日 ディナー：18:00～23:30(L.O.23:00)(月曜～木曜のディナータイムは【予約制】とさせて頂きます。当日の17時までにご連絡をいただけましたらお席をご用意させていただきます。（祝日・祝前日を除く）)
日 ランチ・カフェ：11:30～16:00(L.O.15:30)(ご予約の状況により営業時間が変更になる場合がございます。)",050-3462-9816
ごはんや 一芯 京都,〒604-8073 京都府京都市中京区大黒町90 ドルチェヴィータ京都六角B1, ランチ：11:30～15:00(L.O.14:30)、ディナー：17:00～23:00(L.O.22:00),075-606-5422
ラ・プラージュ・ドール,〒604-8211 京都府京都市中京区六角通室町西入玉蔵町127-4," ランチ：12:00～14:00(※ランチは2日前の22時までの要予約  ※ランチはコース料理のみ(アラカルトメニューの追加は可能))
火～金 ディナー：18:00～22:00(L.O.21:00)
土・日・祝日 ディナー：17:00～22:00(L.O.21:00)",050-3467-5597
割烹 市川,〒604-0813 京都府京都市中京区間之町通二条上ル夷町572 1F, 17:30～23:00(L.O.22:00),075-223-3232
梅の花 京都烏丸店,〒604-8161 京都府京都市中京区烏丸通六角北東カド ウエスト18ビルB1F,"月～日 11:00～15:00(L.O.15:00)
月～日 17:00～22:00(L.O.21:00)",050-3469-4199
ふぐ・黒豚しゃぶしゃぶ 京都 無門,〒604-8174 京都府京都市中京区室町通三条上ル役行者町367 Jリントウビル1F,"月～金 11:30～14:00(L.O.13:30)(土曜日のランチ営業のみ休みです、  夜の営業は平常通り行っております。)
月～土 17:00～23:00(L.O.22:00)",050-3467-5147
赤から 京都大丸前店,〒600-8007 京都府京都市下京区四条通高倉西入立売西町71 GRAND CUBE四条9F,"月～金・祝前日 17:00～24:00
土・日 15:00～24:00",050-3491-6689
L’eclat,〒604-0004 京都府京都市中京区竹屋町通衣棚東入ル相生町281, ディナー：17:00～21:00、バー：21:00～翌1:30(※定休日前日のバー営業はお休みを頂きます。),050-3468-4366
DINING＋CAFE＆BAR 閏,〒604-0042 京都府京都市中京区西洞院通御池上ル押西洞院町610, ランチ：11:30～15:30(L.O.14:30)、ディナー：17:30～23:00(L.O.23:00),050-3490-7210
Cucina Italiana 東洞,〒604-0823 京都府京都市中京区東洞院通竹屋町下ル三本木町5-496-3,"月～水・金～日 ランチ：11:30～15:00(L.O.14:00)
月～水・金～日 ディナー：17:30～23:00(L.O.22:00)",075-212-5207
大原宿,〒604-0856 京都府京都市中京区両替町通二条上ル北小路町100-1,"金・土 ランチ：12:00～14:00
日 ブランチ：10:00～14:00
金・土 ディナー：18:00～22:00",050-3373-1960
吟醸 くらうど,〒604-0002 京都府京都市中京区室町通竹屋町下ル鏡屋町50-2," ディナー：17:00～24:00(L.O.23:30)
第1,2,3,4,5金～日 ランチ：11:30～15:00(L.O.14:30、ドリンクL.O.14:30)(ネット予約でのお席の指定は出来ません。ご希望の場合は直接お店までご連絡ください。  ランチ営業真2020年7月よりスタート！)",050-3469-3791
陽【HIKARI】烏丸御池 宴会,〒604-8187 京都府京都市中京区笹屋町436-2,"月～金 14:00～23:00(L.O.22:00、ドリンクL.O.22:30)(※貸切の場合は営業時間のご相談に応じさせていただきます。例→お昼12時～15時の貸切。 深夜24時～26時の貸切等。  ※ランチタイムは予約のみに限ります。)
土・日・祝 12:00～23:00(L.O.22:00、ドリンクL.O.22:30)",050-3469-7961
カフェキッチンバー ツナグ 御所南店,〒604-0867 京都府京都市中京区常真横町186 RAKURO1F, 朝食：7:00～11:00(L.O.10:30)、11:00～23:00(L.O.22:30)(【営業時間変更のお知らせ】新型コロナウィルス感染拡大防止に伴い下記の通り営業時間を変更いたします。  平日・日曜11:00～22:00(L.O.21:00) 土曜・祝前日11:00～23:00(L.O.22:00)),050-3463-6787
うまいもんや 室町応援団,〒604-8166 京都府京都市中京区三条通室町東入ル御倉町64 KBアネックスビルB1, 11:30～13:30、17:00～23:00(L.O.22:30),050-3462-3291
サムギョプサル 韓国料理 李朝園 京都二条店,〒604-8415 京都府京都市中京区西ノ京栂尾町1-6 BiVi二条1F,月～日 11:00～22:00(※1/2は12時～21時までの営業とさせて頂きます。),050-3464-7909
和食・町家ごはん そいる,〒604-0002 京都府京都市中京区室町通夷川東入ル鏡屋町50-3,"月～日 ランチ：11:30～15:00
月～日 ディナー：17:30～24:00",050-3469-8414
鉄板ダイニング GARYU,〒604-8211 京都府京都市中京区六角通室町西入玉蔵町136, 18:00～翌1:00(L.O.24:00),050-3466-1455
